Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bayo1255	Kugere-Kuxinge	Atlantic-Congo	Africa	58	12	12	100
cuaa1241	Cua	Austroasiatic	Eurasia	8	4	4	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	5	5	100
tain1254	Taino	Arawakan	North America	4	1	1	100
teiw1235	Teiwa	Timor-Alor-Pantar	Papunesia	32	3	3	100
kala1400	Central Kalapuya	Kalapuyan	North America	139	27	24	88.89
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	9	8	88.89
umot1240	Umotína	Bororoan	South America	73	17	15	88.24
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	15	13	86.67
nonu1241	Nonuya	Huitotoan	South America	54	15	13	86.67
yawa1261	Yawalapití	Arawakan	South America	58	15	13	86.67
rikb1245	Rikbaktsa	Nuclear-Macro-Je	South America	149	29	25	86.21
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	7	6	85.71
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	14	12	85.71
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	14	12	85.71
puin1248	Puinave		South America	44	27	23	85.19
suru1262	Suruí	Tupian	South America	18	13	11	84.62
pula1262	Pular	Atlantic-Congo	Africa	134	25	21	84
gbay1278	Gbayi	Atlantic-Congo	Africa	58	12	10	83.33
para1311	Paraguayan Guaraní	Tupian	South America	54	30	25	83.33
gaaa1245	Gaa	Atlantic-Congo	Africa	79	17	14	82.35
yane1238	Yanesha'	Arawakan	South America	114	34	28	82.35
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	28	23	82.14
quap1242	Quapaw	Siouan	North America	154	28	23	82.14
band1340	Bandial	Atlantic-Congo	Africa	87	22	18	81.82
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	22	18	81.82
nort2957	Northern Puebla Nahuatl	Uto-Aztecan	North America	153	33	27	81.82
male1297	Maléku Jaíka	Chibchan	North America	188	38	31	81.58
kara1476	Karadjeri	Pama-Nyungan	Australia	67	32	26	81.25
omah1247	Omaha-Ponca	Siouan	North America	81	16	13	81.25
tuca1252	Tucano	Tucanoan	South America	67	32	26	81.25
abip1241	Abipon	Guaicuruan	South America	129	26	21	80.77
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	26	21	80.77
maas1239	Maasina Fulfulde	Atlantic-Congo	Africa	133	26	21	80.77
mbug1242	Mbugwe	Atlantic-Congo	Africa	117	26	21	80.77
nige1253	Hausa States Fulfulde	Atlantic-Congo	Africa	136	26	21	80.77
pana1307	Panará	Nuclear-Macro-Je	South America	156	31	25	80.65
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	25	20	80
lafo1243	Lafofa		Africa	68	15	12	80
okuu1243	Oku	Atlantic-Congo	Africa	110	25	20	80
omii1238	Omi	Central Sudanic	Africa	18	10	8	80
otor1240	Otoro	Heibanic	Africa	88	20	16	80
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	10	8	80
tusc1257	Tuscarora	Iroquoian	North America	158	34	27	79.41
arab1267	Arabana	Pama-Nyungan	Australia	62	29	23	79.31
maqu1238	Ye'kwana	Cariban	South America	56	29	23	79.31
ahin1234	Ahin-Kayapa Kalanguya	Austronesian	Papunesia	104	24	19	79.17
bamb1262	Bambassi	Blue Nile Mao	Africa	99	24	19	79.17
bure1242	Bure	Afro-Asiatic	Africa	124	24	19	79.17
ibib1240	Ibibio	Atlantic-Congo	Africa	140	33	26	78.79
