Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
goro1270	Gorowa	Afro-Asiatic	Africa	13	5	5	100
mehi1240	Mehináku	Arawakan	South America	4	1	1	100
tain1254	Taino	Arawakan	North America	4	1	1	100
poya1241	Poyanáwa	Pano-Tacanan	South America	50	14	13	92.86
suru1262	Suruí	Tupian	South America	18	14	13	92.86
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	26	24	92.31
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	18	16	88.89
yukp1241	Yukpa	Cariban	South America	106	33	29	87.88
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	15	13	86.67
esse1238	Esselen		North America	110	44	38	86.36
mido1240	Midob	Nubian	Africa	55	22	19	86.36
omii1238	Omi	Central Sudanic	Africa	18	7	6	85.71
wira1265	Wirangu	Pama-Nyungan	Australia	66	41	35	85.37
nyun1247	Nyunga	Pama-Nyungan	Australia	26	13	11	84.62
pait1244	Paite Chin	Sino-Tibetan	Eurasia	152	45	38	84.44
woun1238	Woun Meu	Chocoan	South America	150	44	37	84.09
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	31	26	83.87
maru1252	Marúbo	Pano-Tacanan	South America	126	43	36	83.72
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	24	20	83.33
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
utes1238	Ute-Southern Paiute	Uto-Aztecan	North America	184	54	45	83.33
coah1252	Coahuilteco		North America	129	41	34	82.93
limb1266	Limbu	Sino-Tibetan	Eurasia	140	41	34	82.93
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	29	24	82.76
kari1311	Karitiâna	Tupian	South America	160	52	43	82.69
coch1272	Cochimi	Cochimi-Yuman	North America	89	28	23	82.14
nara1262	Nara		Africa	132	39	32	82.05
para1311	Paraguayan Guaraní	Tupian	South America	54	39	32	82.05
amah1246	Amahuaca	Pano-Tacanan	South America	153	50	41	82
nonu1241	Nonuya	Huitotoan	South America	54	22	18	81.82
huic1243	Huichol	Uto-Aztecan	North America	179	48	39	81.25
kren1239	Krenak	Nuclear-Macro-Je	South America	111	37	30	81.08
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	21	17	80.95
yawa1260	Yawanawa	Pano-Tacanan	South America	148	42	34	80.95
gali1262	Galibi Carib	Cariban	South America	173	47	38	80.85
siri1273	Sirionó	Tupian	South America	169	47	38	80.85
chit1248	Chitimacha		North America	167	52	42	80.77
soli1239	Soli	Atlantic-Congo	Africa	101	31	25	80.65
weda1241	Wedau	Austronesian	Papunesia	115	36	29	80.56
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	41	33	80.49
kara1476	Karadjeri	Pama-Nyungan	Australia	67	51	41	80.39
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	50	40	80
cupe1243	Cupeño	Uto-Aztecan	North America	48	35	28	80
dizi1235	Dizin	Dizoid	Africa	57	15	12	80
sara1331	Saraveca	Arawakan	South America	19	5	4	80
yagu1244	Yagua	Peba-Yagua	South America	170	50	40	80
avac1239	Avá-Canoeiro	Tupian	South America	153	44	35	79.55
chib1270	Chibcha	Chibchan	South America	148	44	35	79.55
wash1253	Washo		North America	152	44	35	79.55
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	34	27	79.41
ando1256	Andoque		South America	38	29	23	79.31
mbya1239	Mbyá Guaraní	Tupian	South America	161	48	38	79.17
pura1257	Purari		Papunesia	158	48	38	79.17
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	43	34	79.07
mill1237	Millcayac	Huarpean	South America	122	38	30	78.95
aghu1255	Aghu	Nuclear Trans New Guinea	Papunesia	175	52	41	78.85
ines1240	Ineseño	Chumashan	North America	173	52	41	78.85
kara1500	Karajá	Nuclear-Macro-Je	South America	176	52	41	78.85
djin1253	Djinang	Pama-Nyungan	Australia	59	47	37	78.72
yuqu1240	Yuqui	Tupian	South America	153	47	37	78.72
