Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
lule1254	Lule Saami	Uralic	Eurasia	195	195	181	92.82
ludi1246	Ludian	Uralic	Eurasia	192	192	175	91.15
skol1241	Skolt Saami	Uralic	Eurasia	192	192	174	90.62
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
livv1243	Livvi	Uralic	Eurasia	195	195	175	89.74
umes1235	Ume Saami	Uralic	Eurasia	183	183	164	89.62
finn1318	Finnish	Uralic	Eurasia	195	195	174	89.23
ingr1248	Ingrian	Uralic	Eurasia	195	195	174	89.23
nort2671	North Saami	Uralic	Eurasia	167	167	149	89.22
veps1250	Veps	Uralic	Eurasia	188	188	165	87.77
esto1258	Estonian	Uralic	Eurasia	195	195	171	87.69
moch1259	Mochica		South America	139	139	121	87.05
voti1245	Votic	Uralic	Eurasia	169	169	147	86.98
sout2674	South Saami	Uralic	Eurasia	195	195	169	86.67
livv1244	Liv	Uralic	Eurasia	194	194	167	86.08
cent2322	Central Mansi	Uralic	Eurasia	185	185	158	85.41
erzy1239	Erzya	Uralic	Eurasia	190	190	162	85.26
fore1265	Forest Enets	Uralic	Eurasia	193	193	161	83.42
moks1248	Moksha	Uralic	Eurasia	195	195	162	83.08
west2392	Western Mari	Uralic	Eurasia	153	153	127	83.01
nara1262	Nara		Africa	132	132	109	82.58
komi1268	Komi-Zyrian	Uralic	Eurasia	186	186	153	82.26
mill1237	Millcayac	Huarpean	South America	122	122	100	81.97
muth1236	Muthuvan	Dravidian	Eurasia	143	143	117	81.82
tata1255	Tatar	Turkic	Eurasia	176	176	144	81.82
even1260	Even	Tungusic	Eurasia	141	141	115	81.56
etru1241	Etruscan		Eurasia	130	130	106	81.54
kweg1241	Kwegu	Surmic	Africa	162	162	132	81.48
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	129	105	81.4
kaur1267	Kaurna	Pama-Nyungan	Australia	48	48	39	81.25
surg1248	Surgut Khanty	Uralic	Eurasia	186	186	151	81.18
tuvi1240	Tuvinian	Turkic	Eurasia	154	154	125	81.17
duru1236	Duruwa	Dravidian	Eurasia	121	121	98	80.99
heil1246	Heiltsuk-Oowekyala	Wakashan	North America	126	126	102	80.95
ngan1291	Nganasan	Uralic	Eurasia	194	194	157	80.93
yoku1256	Northern Yokuts	Yokutsan	North America	173	173	140	80.92
turk1303	Turkic Khalaj	Turkic	Eurasia	171	171	138	80.7
dard1243	Dar Daju Daju	Dajuic	Africa	93	93	75	80.65
agus1235	Agusan Manobo	Austronesian	Papunesia	103	103	83	80.58
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	36	29	80.56
korr1238	Korra Koraga	Dravidian	Eurasia	133	133	107	80.45
nort2690	Northern Uzbek	Turkic	Eurasia	193	193	155	80.31
hier1240	Hieroglyphic Luwian	Indo-European	Eurasia	142	142	114	80.28
tong1329	Tongva	Uto-Aztecan	North America	162	162	130	80.25
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	101	81	80.2
biri1256	Biri	Pama-Nyungan	Australia	146	146	117	80.14
ukra1253	Ukrainian	Indo-European	Eurasia	171	171	137	80.12
icel1247	Icelandic	Indo-European	Eurasia	184	184	147	79.89
