Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
tain1254	Taino	Arawakan	North America	4	4	4	100
goro1270	Gorowa	Afro-Asiatic	Africa	13	12	11	91.67
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	14	87.5
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	78	68	87.18
boru1252	Boruca	Chibchan	North America	117	113	92	81.42
coah1252	Coahuilteco		North America	129	125	101	80.8
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
nkor1239	Nkoroo	Ijoid	Africa	54	50	40	80
yukp1241	Yukpa	Cariban	South America	106	102	81	79.41
coch1272	Cochimi	Cochimi-Yuman	North America	89	85	67	78.82
loma1260	Loma (Liberia)	Mande	Africa	90	85	66	77.65
atak1252	Atakapa		North America	149	141	109	77.3
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	74	57	77.03
homa1239	Homa	Atlantic-Congo	Africa	14	13	10	76.92
rung1258	Runga	Maban	Africa	178	169	130	76.92
esee1247	Ese	Koiarian	Papunesia	75	73	56	76.71
kenu1236	Kenuzi-Dongola	Nubian	Africa	193	180	138	76.67
crow1244	Crow	Siouan	North America	192	179	137	76.54
kunz1244	Kunza		South America	72	68	52	76.47
ndom1245	Ndom	Kolopom	Papunesia	74	72	55	76.39
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	101	77	76.24
abad1241	Abadi	Austronesian	Papunesia	118	113	86	76.11
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	92	70	76.09
quap1242	Quapaw	Siouan	North America	154	142	108	76.06
tega1236	Tegali	Rashad	Africa	82	75	57	76
ango1257	Angosturas Tunebo	Chibchan	South America	136	129	98	75.97
taus1253	Taushiro		South America	150	145	110	75.86
kima1246	Kimaama	Kolopom	Papunesia	92	91	69	75.82
kari1311	Karitiâna	Tupian	South America	160	148	112	75.68
nara1262	Nara		Africa	132	127	96	75.59
gaaa1245	Gaa	Atlantic-Congo	Africa	79	77	58	75.32
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	6	75
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
umot1240	Umotína	Bororoan	South America	73	72	54	75
bilb1241	Bilibil	Austronesian	Papunesia	141	135	101	74.81
cata1286	Catawba	Siouan	North America	125	115	86	74.78
kren1239	Krenak	Nuclear-Macro-Je	South America	111	107	80	74.77
chil1280	Chilcotin-Nicola	Athabaskan-Eyak-Tlingit	North America	183	170	127	74.71
hida1246	Hidatsa	Siouan	North America	177	166	124	74.7
choc1276	Choctaw	Muskogean	North America	190	177	132	74.58
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	47	35	74.47
vinm1237	Neve'ei	Austronesian	Papunesia	143	133	99	74.44
cree1270	Creek	Muskogean	North America	185	172	128	74.42
sekp1241	Sekpele	Atlantic-Congo	Africa	94	86	64	74.42
